Genus,Char_7,Char_9,Char_16,Char_22,Char_25,Char_28,Char_29,Char_30,Char_31,Char_32,Char_34,Char_35,Char_36,Char_37,Char_38,Char_39,Char_63,Char_64,Char_65,Char_66,Char_67,Char_68,Char_69,Char_79,Char_80,Char_81
Acomys,0,2,1,1,,1,2,,,,,,1,3,3,,,,,2,,,,,,1
Arvicanthis,0,2,1,1,1,1,2,0,1,1,0,2,1,3,1,2,0,0,2,,,,1,,,
Colomys,0,2,1,1,1,1,2,0,2,2,0,2,1,5,2,2,0,2,2,2,1,2,2,1,1,2
Dasymys,0,2,1,1,1,1,0,0,1,2,0,2,1,3,1,2,2,2,2,0,2,0,0,2,2,3
Desmomys,0,2,1,1,1,1,0,0,2,2,0,3,1,3,1,2,2,0,2,2,2,2,2,2,2,
Hylomyscus,0,2,2,1,1,1,2,0,2,1,0,3,1,4,2,2,0,0,,2,1,2,2,,,1
Lophuromys,0,2,1,1,1,1,2,0,2,1,0,3,1,3,2,2,0,0,2,2,0,0,2,2,1,2
Mastomys,0,2,1,1,1,1,2,1,2,1,0,2,1,4,2,2,,,2,2,2,,2,1,1,2
Micaelamys ,0,2,1,1,1,1,2,0,2,1,1,2,1,3,2,2,2,2,2,0,0,0,0,1,1,
Millardia,0,2,1,1,1,1,2,0,2,2,1,3,1,3,3,2,0,0,2,2,2,2,2,2,2,2
Mus,0,2,1,,2,1,2,,,,,,1,,2,,,,,,,0,,,,1
Mylomys,1,2,1,1,1,1,2,0,1,1,0,2,2,3,1,2,0,0,0,2,1,0,2,2,2,3
Oenomys,0,2,1,1,1,1,0,0,2,2,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,3
Pelomys,1,2,2,1,1,1,2,0,1,1,0,3,1,4,1,2,2,2,2,2,2,0,2,2,2,3
Rhabdomys,0,2,1,1,1,1,2,0,2,2,0,3,1,3,1,2,0,2,2,1,1,2,1,2,2,2
Thamnomys,0,2,1,1,1,3,2,1,1,2,2,3,1,4,1,2,0,2,2,2,2,2,2,,,3
Uranomys,0,1,1,1,1,1,2,0,1,1,0,1,1,3,3,1,0,1,2,2,2,2,0,1,1,2
Zelotomys,0,2,1,1,1,1,2,0,2,1,0,2,1,3,2,2,0,0,2,1,0,2,1,1,1,2